"Login Activities","Registrar actividades"
"Ves All - <a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","Ves All - <a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>"
"Social Login","inicio de sesión Social"
General,General
Enable,Habilitar
"Popup Effect","Efecto Popup"
"Style Management","Administración de estilo"
"Social Button Position","Social Button Position"
"Custom CSS","CSS Personalizado"
"Reload URL","Recargar URL"
"Number Column on Large Desktop","Number Column on Large Desktop"
"Large devices Desktops (≥1200px). Use in grid layout and masonry layout","Large devices Desktops (≥1200px). Use in grid layout and masonry layout"
"Number Column on Desktop","Number Column on Desktop"
"Medium devices Desktops (≥992px)","Medium devices Desktops (≥992px)"
"Number Column on Tablets","Number Column on Tablets"
"Small devices Tablets (≥768px)","Small devices Tablets (≥768px)"
"Number Column on Phones","Number Column on Phones"
"Small devices Tablets (≥480px)","Small devices Tablets (≥480px)"
"Popup Layout","Layout del Popup"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Send Password To Customer","Enviar contraseña al cliente"
Title,Título
"Client ID","Client ID"
"Client Secret","Client Secret"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
LinkedIn,LinkedIn
"API Key","API Key"
"Client Key","Client Key"
Key,Key
"API Secret","API Secret"
"App key","App key"
"App secret","App secret"
"Lof SocialLogin: Social Login","Lof SocialLogin: inicio de sesión Social"
"Show Social Login ","Mostrar inicio de sesión Social "
"Number Column on Large Desktop(Grid/List)","Columna numérica en Desktop - grande (Grilla/Lista)"
"Number Column on Desktop(Grid/List)","Columna numérica en Desktop (Grilla/Lista)"
"Number Column on Tablets(Grid/List)","Number Column en Tablets (Grilla/Lista)"
"Number Column on Phones(Grid/List)","Columna numérica en Teléfonos (Grilla/Lista)"
"Extra small devices Phones (<768px)","Dispositivos móviles extra pequeños (<768px)"
